vehicle_id,Bike Producer,Series,Size,Configuration,Bike Model,Sales Name,Year,Cylinder,Type of Drive,Engine Output,Country,Category 1,Category 2
320,DERBI,GPR,50,NUDE,GPR 50 NUDE,,2010,1,2-STROKE,"2,1 KW(2,9 PS)",EUROPE,MOTORBIKE,SPORTBIKE
321,DERBI,BOULEVARD,50,,BOULEVARD 50,,2010,1,2-STROKE,"2,7 KW(3,7 PS)",EUROPE,SCOOTER,SCOOTER
322,DERBI,SONAR,150,,SONAR 150,,2010,1,4-STROKE,"8,5 KW(11,6 PS)",EUROPE,SCOOTER,SCOOTER
323,DERBI,SENDA,125,,SENDA 125,Terra Adventure,2011,1,4-STROKE,11 KW(15 PS),EUROPE,MOTORBIKE,DUAL PURPOSE
324,DERBI,VARIANT,125,,VARIANT 125,Sport,2013,1,4-STROKE,"7,8 KW(10,6 PS)",EUROPE,SCOOTER,SCOOTER
325,DERBI,RAMBLA,300,I,RAMBLA 300 I,,2013,1,4-STROKE,17 KW(23 PS),EUROPE,SCOOTER,SCOOTER
326,DERBI,VARIANT,125,,VARIANT 125,Sport,2014,1,4-STROKE,"7,8 KW(10,6 PS)",EUROPE,SCOOTER,SCOOTER
327,DERBI,GPR,50,,GPR 50,,2016,1,2-STROKE,"2,1 KW(2,9 PS)",EUROPE,MOTORBIKE,SPORTBIKE
328,DINLI,300,300,2X4,300 2X4,Special X,2014,1,4-STROKE,13 KW(17 PS),EUROPE,ATV,QUAD
329,DUCATI,MARK III,250,,MARK III 250,,1973,1,4-STROKE,13 KW(18 PS),ALL,MOTORBIKE,NAKEDBIKE
330,DUCATI,SS,900,,SS 900,Upright Shaft,1976,2,4-STROKE,50 KW(68 PS),ALL,MOTORBIKE,SPORTBIKE
331,DUCATI,SS,900,,SS 900,Mike Hailwood Replica,1979,2,4-STROKE,53 KW(72 PS),ALL,MOTORBIKE,SPORTBIKE
332,DUCATI,SS,900,,SS 900,Upright Shaft,1981,2,4-STROKE,50 KW(68 PS),ALL,MOTORBIKE,SPORTBIKE
333,DUCATI,PANTAH,600,TL,PANTAH 600 TL,,1982,2,4-STROKE,42 KW(57 PS),ALL,MOTORBIKE,NAKEDBIKE
334,DUCATI,900,900,S II,900 S II,,1983,2,4-STROKE,48 KW(65 PS),ALL,MOTORBIKE,SPORTBIKE
335,DUCATI,PANTAH,600,SL,PANTAH 600 SL,,1984,2,4-STROKE,42 KW(57 PS),ALL,MOTORBIKE,SPORTBIKE
336,DUCATI,SS,750,,SS 750,Nuda,1996,2,4-STROKE,25 KW(34 PS); 50 KW(68 PS),EUROPE,MOTORBIKE,SPORTBIKE
337,DUCATI,SS,900,,SS 900,Nuda,1996,2,4-STROKE,57 KW(78 PS),EUROPE,MOTORBIKE,SPORTBIKE
338,DUCATI,SS,900,,SS 900,,1996,2,4-STROKE,,AMERICA,MOTORBIKE,SPORTBIKE
339,DUCATI,MONSTER,750,,MONSTER 750,,1998,2,4-STROKE,25 KW(34 PS); 46 KW(63 PS),ALL,MOTORBIKE,NAKEDBIKE
340,DUCATI,748,748,,748,,1999,2,4-STROKE,71 KW(97 PS),EUROPE,MOTORBIKE,SPORTBIKE
341,DUCATI,S,750,,S 750,Carenata Dark,2002,2,4-STROKE,25 KW(34 PS); 45 KW(61 PS),EUROPE,MOTORBIKE,SPORTBIKE
342,DUCATI,MONSTER,916,S4,MONSTER 916 S4,,2003,2,4-STROKE,74 KW(100 PS),EUROPE,MOTORBIKE,NAKEDBIKE
343,DUCATI,999,999,S,999 S,,2003,2,4-STROKE,100 KW(136 PS),EUROPE,MOTORBIKE,SPORTBIKE
344,DUCATI,SS,800,I.E.,SS 800 I.E.,Carenata,2004,2,4-STROKE,55 KW(75 PS),EUROPE,MOTORBIKE,SPORTBIKE
345,DUCATI,999,999,S,999 S,,2005,2,4-STROKE,105 KW(143 PS),ALL,MOTORBIKE,SPORTBIKE
